"","V162034a","V161006","V161086","V161087","V162255","V161019","V162146","V161235","V161126","V161158x","V161176","V161196","V161215","V161221","V161231","V161243","V161008","V161195","V161370","V161393","V161451","V161373","V161376","V161385","V161389","V161245","V161309","V161310a","V161310b","V161181","V161184","V161201","V161178"
"1252","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","2. Mitt Romney",40,30,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","5. Slightly conservative","6. Not very strong Republican","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","3. Three days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,5,2,3
"1253","4. Jill Steiin","1. Barack Obama",60,15,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","2. Liberal","1. Strong Democrat","3. A moderate amount","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","4. Four days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,1,2,5
"1254","2. Donald Trump","2. Mitt Romney",40,85,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","5. Slightly conservative","6. Not very strong Republican","2. A lot","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","3. Three days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Selected","3. Once or twice a month","1. Yes","0. Not selected","0. Not selected",4,99,1,4
"1255","2. Donald Trump","-1. Inap, 2,-8,-9 in V161005",15,70,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","2. Worse","7. Extremely conservative","7. Strong Republican","1. A great deal","1. Favor","5. Never","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",5,7,99,1
"1256","1. Hillary Clinton","-1. Inap, 2,-8,-9 in V161005",70,0,"2. Not a Muslim","1. Democratic party","2. Oppose","3. About the same","1. Extremely liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","3. About half the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","3. Once or twice a month","1. Yes","1. Selected","0. Not selected",4,99,4,99
"1257","2. Donald Trump","2. Mitt Romney",0,70,"2. Not a Muslim","2. Republican party","1. Favor","3. About the same","5. Slightly conservative","6. Not very strong Republican","3. A moderate amount","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","5. Never","2. No","1. Selected","0. Not selected",6,5,4,3
"1258","2. Donald Trump","5. Other SPECIFY",0,70,"1. Muslim","2. Republican party","1. Favor","2. Worse","6. Conservative","6. Not very strong Republican","2. A lot","1. Favor","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","3. The Bible is a book written by men and is not the word of God.","1. One day","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,6,3,2
"1259","2. Donald Trump","-1. Inap, 2,-8,-9 in V161005",2,100,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","4. Moderate, middle of the road","4. Independent","1. A great deal","1. Favor","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","6. Six days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",7,1,7,3
"1260","2. Donald Trump","2. Mitt Romney",10,60,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","6. Conservative","6. Not very strong Republican","2. A lot","3. Neither favor nor oppose","3. About half the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","1. Selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,7,7,2
"1261","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",15,0,"1. Muslim","2. Republican party","2. Oppose","1. Better","5. Slightly conservative","4. Independent","2. A lot","1. Favor","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","1. Yes","1. Selected","0. Not selected",99,99,99,99
"1262","1. Hillary Clinton","1. Barack Obama",85,40,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","5. Slightly conservative","2. Not very strong Democract","2. A lot","2. Oppose","2. Most of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","4. Four days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Once or twice a month","2. No","1. Selected","0. Not selected",5,4,99,6
"1263","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","2. Mitt Romney",70,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","4. Moderate, middle of the road","6. Not very strong Republican","2. A lot","2. Oppose","2. Most of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","6. Six days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","1. Selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","0. Not selected","0. Not selected",3,1,1,5
"1264","2. Donald Trump","2. Mitt Romney",0,86,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","6. Conservative","7. Strong Republican","3. A moderate amount","1. Favor","4. Some of the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",6,5,3,3
"1265","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",0,75,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","2. Worse","5. Slightly conservative","5. Independent-Republican","1. A great deal","1. Favor","5. Never","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,3,3,3
"1266","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",30,15,"2. Not a Muslim","1. Democratic party","1. Favor","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Not very strong Democract","3. A moderate amount","2. Oppose","3. About half the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","4. Four days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Once or twice a month","2. No","1. Selected","0. Not selected",99,1,7,99
"1267","2. Donald Trump","2. Mitt Romney",15,70,"2. Not a Muslim","2. Republican party","3. Neither favor nor oppose","2. Worse","4. Moderate, middle of the road","6. Not very strong Republican","1. A great deal","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Once or twice a month","2. No","1. Selected","0. Not selected",3,4,99,99
"1268","-7. No Post, deleted due to insufficient partial","2. Mitt Romney",60,24,"-7. No post data, deleted due to incomplete IW","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-7. No post data, deleted due to incomplete IW","1. Better","4. Moderate, middle of the road","4. Independent","3. A moderate amount","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","2. Two days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","0. Not selected","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",99,99,2,3
"1269","1. Hillary Clinton","1. Barack Obama",85,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","2. Liberal","1. Strong Democrat","2. A lot","2. Oppose","5. Never","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","1. Selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,4,99,99
"1270","2. Donald Trump","2. Mitt Romney",0,85,"2. Not a Muslim","4. None or 'independent'","1. Favor","1. Better","6. Conservative","7. Strong Republican","2. A lot","1. Favor","4. Some of the time","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,6,5,1
"1271","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",0,100,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","7. Extremely conservative","7. Strong Republican","1. A great deal","1. Favor","4. Some of the time","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","4. A few times a year","2. No","0. Not selected","0. Not selected",7,7,1,1
"1272","-7. No Post, deleted due to insufficient partial","1. Barack Obama",31,41,"-7. No post data, deleted due to incomplete IW","2. Republican party","-7. No post data, deleted due to incomplete IW","1. Better","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","6. Not very strong Republican","2. A lot","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,99,2,4
"1273","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",40,15,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","4. Independent","3. A moderate amount","1. Favor","3. About half the time","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","0. None","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","1. Yes","1. Selected","0. Not selected",99,1,99,3
"1274","2. Donald Trump","2. Mitt Romney",0,100,"1. Muslim","2. Republican party","3. Neither favor nor oppose","2. Worse","5. Slightly conservative","7. Strong Republican","2. A lot","1. Favor","5. Never","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","1. Should be sent back where they came from","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",6,7,3,4
"1275","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","2. Mitt Romney",0,100,"1. Muslim","2. Republican party","1. Favor","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","7. Strong Republican","3. A moderate amount","1. Favor","2. Most of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","4. Four days","1. Should be sent back where they came from","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","0. Not selected","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","3. Once or twice a month","2. No","1. Selected","0. Not selected",99,99,99,6
"1276","2. Donald Trump","-1. Inap, 2,-8,-9 in V161005",16,61,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","4. Independent","4. A little","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","4. Four days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,1,4,2
"1277","1. Hillary Clinton","1. Barack Obama",71,1,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","2. Liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,5,2,5
"1278","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",60,30,"1. Muslim","2. Republican party","2. Oppose","2. Worse","3. Slightly liberal","5. Independent-Republican","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","6. Six days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","0. Not selected","0. Not selected",99,5,4,99
"1279","1. Hillary Clinton","1. Barack Obama",10,0,"2. Not a Muslim","2. Republican party","1. Favor","1. Better","6. Conservative","6. Not very strong Republican","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","0. Not selected","0. Not selected",4,5,3,4
"1280","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",60,30,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Not very strong Democract","3. A moderate amount","1. Favor","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-9. Refused question","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",99,3,99,99
"1281","1. Hillary Clinton","2. Mitt Romney",70,15,"2. Not a Muslim","2. Republican party","1. Favor","3. About the same","4. Moderate, middle of the road","6. Not very strong Republican","2. A lot","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",4,4,3,3
"1282","2. Donald Trump","5. Other SPECIFY",51,72,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","3. Slightly liberal","2. Not very strong Democract","3. A moderate amount","1. Favor","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,99,5,2
"1283","1. Hillary Clinton","2. Mitt Romney",70,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","3. Slightly liberal","4. Independent","1. A great deal","2. Oppose","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Once or twice a month","2. No","1. Selected","0. Not selected",99,5,2,5
"1284","2. Donald Trump","2. Mitt Romney",40,60,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","4. Independent","3. A moderate amount","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,6,4,1
"1285","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",30,2,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Not very strong Democract","3. A moderate amount","1. Favor","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","3. Three days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,1,4,5
"1286","3. Gary Johnson","1. Barack Obama",30,30,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","5. Slightly conservative","6. Not very strong Republican","5. Not at all","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","6. Six days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",5,6,7,3
"1287","3. Gary Johnson","2. Mitt Romney",1,30,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","5. Slightly conservative","5. Independent-Republican","1. A great deal","1. Favor","4. Some of the time","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",7,7,7,1
"1288","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-9. Refused",0,0,"2. Not a Muslim","4. None or 'independent'","1. Favor","1. Better","5. Slightly conservative","5. Independent-Republican","1. A great deal","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",5,6,4,1
"1289","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",50,70,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","2. Oppose","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","5. Independent-Republican","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","6. Six days","1. Should be sent back where they came from","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","1. Yes","1. Selected","0. Not selected",6,2,1,7
"1290","1. Hillary Clinton","1. Barack Obama",60,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","2. Liberal","1. Strong Democrat","2. A lot","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,4,1,4
